	Group	Bray_Curtis_distances	Value				Group	Bray_Curtis_distances	Value				Group	Bray_Curtis_distances	Value
151	Fiber	D28	0.8964082			151	Fat	D28	0.714111943			151	Normal	D28	0.288139229
152	Fiber	D28	0.772527423			152	Fat	D28	0.855357036			152	Normal	D28	0.4954217
153	Fiber	D28	0.968163003			153	Fat	D28	0.846921738			153	Normal	D28	0.5657796
154	Fiber	D28	0.910272796			154	Fat	D28	0.814607119			154	Normal	D28	0.299317795
155	Fiber	D28	0.891957295			155	Fat	D28	0.748145825			155	Normal	D28	0.552348333
156	Fiber	D28	0.8897537			156	Fat	D28	0.786675032			156	Normal	D28	0.351100535
157	Fiber	D28	0.840445916			157	Fat	D28	0.715650872			157	Normal	D28	0.289577158
158	Fiber	D28	0.871422526			158	Fat	D28	0.8530577			158	Normal	D28	0.420272842
159	Fiber	D28	0.897041521			159	Fat	D28	0.773946			159	Normal	D28	0.548753155
160	Fiber	D28	0.861252607			160	Fat	D28	0.813506672			160	Normal	D28	0.288127122
161	Fiber	D28	0.80022781			161	Fat	D28	0.822437773			161	Normal	D28	0.512129078
162	Fiber	D28	0.862050214			162	Fat	D28	0.779278978			162	Normal	D28	0.30240536
163	Fiber	D28	0.941590797			163	Fat	D28	0.766268323			163	Normal	D28	0.266752263
164	Fiber	D28	0.951301602			164	Fat	D28	0.809555738			164	Normal	D28	0.427720329
165	Fiber	D28	0.972269201			165	Fat	D28	0.884483723			165	Normal	D28	0.472295926
166	Fiber	D28	0.941521494			166	Fat	D28	0.840563608			166	Normal	D28	0.276109328
167	Fiber	D28	0.963506796			167	Fat	D28	0.773187811			167	Normal	D28	0.482937248
168	Fiber	D28	0.958876698			168	Fat	D28	0.823324918			168	Normal	D28	0.314858566
169	Fiber	D28	0.925540004			169	Fat	D28	0.764700812			169	Normal	D28	0.19954276
170	Fiber	D28	0.950702707			170	Fat	D28	0.595544261			170	Normal	D28	0.546427436
171	Fiber	D28	0.972534904			171	Fat	D28	0.833864625			171	Normal	D28	0.53499844
172	Fiber	D28	0.93043			172	Fat	D28	0.8180449			172	Normal	D28	0.247139713
173	Fiber	D28	0.9521399			173	Fat	D28	0.7909702			173	Normal	D28	0.607337759
174	Fiber	D28	0.940900303			174	Fat	D28	0.723477514			174	Normal	D28	0.329398434
175	Fiber	D28	0.876313606			175	Fat	D28	0.793480131			175	Normal	D28	0.326945766
176	Fiber	D28	0.846405623			176	Fat	D28	0.812039047			176	Normal	D28	0.524353324
177	Fiber	D28	0.960823106			177	Fat	D28	0.885114329			177	Normal	D28	0.438548428
178	Fiber	D28	0.8891738			178	Fat	D28	0.816821618			178	Normal	D28	0.337588034
179	Fiber	D28	0.8886943			179	Fat	D28	0.769292223			179	Normal	D28	0.551586855
180	Fiber	D28	0.894103305			180	Fat	D28	0.811743828			180	Normal	D28	0.342756567
