"consensus_lin","EdgeBetweenness","eweight","interaction","name","selected","shared interaction","shared name"
"Dorea_sp_5_2","57.39677871148459","-0.440086216","interacts with","Dorea_sp_5_2 (interacts with) Clostridium_sp_ASF502","false","interacts with","Dorea_sp_5_2 (interacts with) Clostridium_sp_ASF502"
"Dorea_sp_5_2","90.0","-0.48641291","interacts with","Dorea_sp_5_2 (interacts with) Bacteroides_vulgatus","false","interacts with","Dorea_sp_5_2 (interacts with) Bacteroides_vulgatus"
"Lachnospiraceae_bacterium_M18_1","14.71363636363636","0.59736913","interacts with","Lachnospiraceae_bacterium_M18_1 (interacts with) Lachnospiraceae_bacterium_28_4","false","interacts with","Lachnospiraceae_bacterium_M18_1 (interacts with) Lachnospiraceae_bacterium_28_4"
"Lachnospiraceae_bacterium_M18_1","11.9","0.769374179","interacts with","Lachnospiraceae_bacterium_M18_1 (interacts with) Eubacterium_sp_14_2","false","interacts with","Lachnospiraceae_bacterium_M18_1 (interacts with) Eubacterium_sp_14_2"
"Lachnospiraceae_bacterium_M18_1","49.97770562770564","0.530289478","interacts with","Lachnospiraceae_bacterium_M18_1 (interacts with) Bacteroides_thetaiotaomicron","false","interacts with","Lachnospiraceae_bacterium_M18_1 (interacts with) Bacteroides_thetaiotaomicron"
"Lachnospiraceae_bacterium_M18_1","26.975324675324675","0.673082352","interacts with","Lachnospiraceae_bacterium_M18_1 (interacts with) Bacteroides_stercorirosoris","false","interacts with","Lachnospiraceae_bacterium_M18_1 (interacts with) Bacteroides_stercorirosoris"
"Eubacterium_sp_14_2","45.66681096681096","0.419829132","interacts with","Eubacterium_sp_14_2 (interacts with) Parabacteroides_johnsonii","false","interacts with","Eubacterium_sp_14_2 (interacts with) Parabacteroides_johnsonii"
"Eubacterium_sp_14_2","39.15728715728716","0.427518536","interacts with","Eubacterium_sp_14_2 (interacts with) Bacteroides_thetaiotaomicron","false","interacts with","Eubacterium_sp_14_2 (interacts with) Bacteroides_thetaiotaomicron"
"Eubacterium_sp_14_2","32.99227994227994","0.486503758","interacts with","Eubacterium_sp_14_2 (interacts with) Bacteroides_stercorirosoris","false","interacts with","Eubacterium_sp_14_2 (interacts with) Bacteroides_stercorirosoris"
"Lachnospiraceae_bacterium_28_4","64.68838383838383","0.445171514","interacts with","Lachnospiraceae_bacterium_28_4 (interacts with) Bacteroides_stercorirosoris","false","interacts with","Lachnospiraceae_bacterium_28_4 (interacts with) Bacteroides_stercorirosoris"
"Helicobacter_apodemus","25.194444444444446","0.567519466","interacts with","Helicobacter_apodemus (interacts with) Parasutterella_excrementihominis","false","interacts with","Helicobacter_apodemus (interacts with) Parasutterella_excrementihominis"
"Helicobacter_apodemus","37.304761904761904","0.600745338","interacts with","Helicobacter_apodemus (interacts with) Bacteroides_massiliensis","false","interacts with","Helicobacter_apodemus (interacts with) Bacteroides_massiliensis"
"Akkermansia_muciniphila","32.35079365079365","0.454343266","interacts with","Akkermansia_muciniphila (interacts with) Helicobacter_apodemus","false","interacts with","Akkermansia_muciniphila (interacts with) Helicobacter_apodemus"
"Akkermansia_muciniphila","34.73686868686869","-0.401620046","interacts with","Akkermansia_muciniphila (interacts with) Eubacterium_sp_14_2","false","interacts with","Akkermansia_muciniphila (interacts with) Eubacterium_sp_14_2"
"Akkermansia_muciniphila","41.264718614718625","0.443922733","interacts with","Akkermansia_muciniphila (interacts with) Bacteroides_massiliensis","false","interacts with","Akkermansia_muciniphila (interacts with) Bacteroides_massiliensis"
"Proteobacteria_bacterium_CAG_139","19.267532467532465","0.96974416","interacts with","Proteobacteria_bacterium_CAG_139 (interacts with) Parasutterella_excrementihominis","false","interacts with","Proteobacteria_bacterium_CAG_139 (interacts with) Parasutterella_excrementihominis"
"Proteobacteria_bacterium_CAG_139","77.39030218147867","0.524805339","interacts with","Proteobacteria_bacterium_CAG_139 (interacts with) Parabacteroides_goldsteinii","false","interacts with","Proteobacteria_bacterium_CAG_139 (interacts with) Parabacteroides_goldsteinii"
