row	col	val1
Clostridium_symbiosum	Bifidobacterium_pseudolongum	NA
Eubacterium_rectale	Bifidobacterium_pseudolongum	NA
Lachnospiraceae_bacterium_10_1	Bifidobacterium_pseudolongum	NA
Lachnospiraceae_bacterium_28_4	Bifidobacterium_pseudolongum	0.112694205
Lachnospiraceae_bacterium_3_1	Bifidobacterium_pseudolongum	0.032781337
Lachnospiraceae_bacterium_3_2	Bifidobacterium_pseudolongum	0.680516499
Lachnospiraceae_bacterium_A2	Bifidobacterium_pseudolongum	0.946704687
Lachnospiraceae_bacterium_A4	Bifidobacterium_pseudolongum	0.545826596
Lachnospiraceae_bacterium_COE1	Bifidobacterium_pseudolongum	0.444571645
Lachnospiraceae_bacterium_M18_1	Bifidobacterium_pseudolongum	0.053917026
Oscillibacter_sp_1_3	Bifidobacterium_pseudolongum	0.472960684
Romboutsia_ilealis	Bifidobacterium_pseudolongum	NA
Acutalibacter_muris	Bifidobacterium_pseudolongum	0.870211935
Anaerotruncus_sp_G3_2012	Bifidobacterium_pseudolongum	0.138282655
Ruthenibacterium_lactatiformans	Bifidobacterium_pseudolongum	0.443486203
Clostridium_cocleatum	Bifidobacterium_pseudolongum	0.2675595
Clostridium_innocuum	Bifidobacterium_pseudolongum	NA
Faecalibaculum_rodentium	Bifidobacterium_pseudolongum	0.029763281
Ileibacterium_valens	Bifidobacterium_pseudolongum	NA
Firmicutes_bacterium_ASF500	Bifidobacterium_pseudolongum	0.011702779
Parasutterella_excrementihominis	Bifidobacterium_pseudolongum	0.006320116
Turicimonas_muris	Bifidobacterium_pseudolongum	NA
Desulfovibrionaceae_bacterium	Bifidobacterium_pseudolongum	NA
Helicobacter_apodemus	Bifidobacterium_pseudolongum	NA
Helicobacter_cinaedi	Bifidobacterium_pseudolongum	NA
Helicobacter_ganmani	Bifidobacterium_pseudolongum	0.479776635
Helicobacter_hepaticus	Bifidobacterium_pseudolongum	0.01256424
Helicobacter_magdeburgensis	Bifidobacterium_pseudolongum	NA
Helicobacter_typhlonius	Bifidobacterium_pseudolongum	0.021133497
Enterobacter_cloacae_complex	Bifidobacterium_pseudolongum	NA
Escherichia_coli	Bifidobacterium_pseudolongum	0.194695566
Proteus_hauseri	Bifidobacterium_pseudolongum	NA
Proteus_mirabilis	Bifidobacterium_pseudolongum	0.443486203
Acinetobacter_baumannii	Bifidobacterium_pseudolongum	NA
Proteobacteria_bacterium_CAG_139	Bifidobacterium_pseudolongum	NA
Akkermansia_muciniphila	Bifidobacterium_pseudolongum	0.437387813
Corynebacterium_stationis	Corynebacterium_mastitidis	NA
Adlercreutzia_equolifaciens	Corynebacterium_mastitidis	NA
Asaccharobacter_celatus	Corynebacterium_mastitidis	NA
Enterorhabdus_caecimuris	Corynebacterium_mastitidis	NA
Bacteroides_caecimuris	Corynebacterium_mastitidis	NA
Bacteroides_dorei	Corynebacterium_mastitidis	NA
Bacteroides_faecichinchillae	Corynebacterium_mastitidis	NA
Bacteroides_intestinalis	Corynebacterium_mastitidis	NA
Bacteroides_massiliensis	Corynebacterium_mastitidis	NA
Bacteroides_ovatus	Corynebacterium_mastitidis	NA
Bacteroides_sartorii	Corynebacterium_mastitidis	NA
Bacteroides_stercorirosoris	Corynebacterium_mastitidis	NA
Bacteroides_thetaiotaomicron	Corynebacterium_mastitidis	NA
Bacteroides_uniformis	Corynebacterium_mastitidis	NA
Bacteroides_vulgatus	Corynebacterium_mastitidis	NA
Bacteroides_xylanisolvens	Corynebacterium_mastitidis	NA
Muribaculaceae_bacterium_DSM_103720	Corynebacterium_mastitidis	NA
Muribaculum_intestinale	Corynebacterium_mastitidis	NA
Butyricimonas_virosa	Corynebacterium_mastitidis	NA
Prevotella_sp_MGM2	Corynebacterium_mastitidis	NA
Alistipes_indistinctus	Corynebacterium_mastitidis	NA
Alistipes_shahii	Corynebacterium_mastitidis	NA
Alistipes_timonensis	Corynebacterium_mastitidis	NA
Parabacteroides_distasonis	Corynebacterium_mastitidis	NA
Parabacteroides_goldsteinii	Corynebacterium_mastitidis	NA
Parabacteroides_johnsonii	Corynebacterium_mastitidis	NA
Parabacteroides_merdae	Corynebacterium_mastitidis	NA
Mucispirillum_schaedleri	Corynebacterium_mastitidis	NA
Jeotgalicoccus_halotolerans	Corynebacterium_mastitidis	NA
Staphylococcus_aureus	Corynebacterium_mastitidis	NA
Staphylococcus_lentus	Corynebacterium_mastitidis	NA
Staphylococcus_nepalensis	Corynebacterium_mastitidis	NA
Staphylococcus_sciuri	Corynebacterium_mastitidis	NA
Staphylococcus_vitulinus	Corynebacterium_mastitidis	NA
Staphylococcus_xylosus	Corynebacterium_mastitidis	NA
Aerococcaceae_bacterium	Corynebacterium_mastitidis	NA
Enterococcus_faecalis	Corynebacterium_mastitidis	NA
Enterococcus_gallinarum	Corynebacterium_mastitidis	NA
Enterococcus_hirae	Corynebacterium_mastitidis	NA
Lactobacillus_intestinalis	Corynebacterium_mastitidis	NA
Lactobacillus_johnsonii	Corynebacterium_mastitidis	NA
Lactobacillus_murinus	Corynebacterium_mastitidis	NA
Lactobacillus_reuteri	Corynebacterium_mastitidis	NA
Lactobacillus_taiwanensis	Corynebacterium_mastitidis	NA
Streptococcus_acidominimus	Corynebacterium_mastitidis	NA
Clostridium_sp_ASF356	Corynebacterium_mastitidis	NA
Clostridium_sp_ASF502	Corynebacterium_mastitidis	NA
Eubacterium_plexicaudatum	Corynebacterium_mastitidis	NA
Eubacterium_sp_14_2	Corynebacterium_mastitidis	NA
Acetatifactor_muris	Corynebacterium_mastitidis	NA
